group,tissue,patient
SQ_1950,CRC_N,tissue,CRC8
SQ_1951,CRC_K,tissue,CRC8
SQ_1953,CRC_org,organoids,CRC8
SQ_1954,CRC_org,organoids,CRC8
SQ_1955,CRC_org,organoids,CRC8
SQ_1956,CRC_org,organoids,CRC8
SQ_1957,CRC_K,tissue,CRC4
SQ_1958,CRC_org,organoids,CRC4
SQ_1959,CRC_org,organoids,CRC4
SQ_1960,CRC_N,tissue,CRC10
SQ_1961,CRC_K,tissue,CRC10
SQ_1963,CRC_org,organoids,CRC10
SQ_1964,CRC_org,organoids,CRC10
SQ_1967,CRC_N,tissue,CRC11
SQ_1968,CRC_K,tissue,CRC11
SQ_1970,CRC_org,organoids,CRC11
SQ_1971,CRC_N,tissue,CRC13
SQ_1972,CRC_K,tissue,CRC13
SQ_1973,CRC_org,organoids,CRC13
SQ_1974,CRC_org,organoids,CRC13
SQ_1975,CRC_org,organoids,CRC13
SQ_1976,CRC_org,organoids,CRC13
SQ_1984,CRC_N,tissue,CRC18
SQ_1985,CRC_K,tissue,CRC18
SQ_1987,CRC_org,organoids,CRC18
SQ_2011,CRC_K,tissue,CRC24
SQ_2012,CRC_N,tissue,CRC24
SQ_2013,CRC_org,organoids,CRC24
SQ_2014,CRC_org,organoids,CRC24
SQ_2015,CRC_org,organoids,CRC24
SQ_2016,CRC_org,organoids,CRC18
SQ_2017,CRC_org,organoids,CRC13
SQ_2018,CRC_org,organoids,CRC11
SQ_2019,CRC_N,tissue,CRC22
SQ_2020,CRC_K,tissue,CRC22
SQ_2021,CRC_org,organoids,CRC22
SQ_2250,CRC_N,tissue,CRC36
SQ_2251,CRC_K,tissue,CRC36
SQ_2253,CRC_org,organoids,CRC36
SQ_2254,CRC_org,organoids,CRC36
SQ_2262,CRC_N,tissue,CRC41
SQ_2263,CRC_K,tissue,CRC41
SQ_2264,CRC_org,organoids,CRC41
SQ_2265,CRC_org,organoids,CRC41
